run,arm,width,height,sample,Timestamp,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHIThreadTime,GameThreadWaitTime,PawnCount,IgnoredForSummary
hwrt-off-1440-1-v3,v3,2560,1440,4,2026-09-07T22:24:27.579Z,18.994499,15.187200,8.119900,18.994499,10.513000,12.085300,1,0
hwrt-off-1440-1-v3,v3,2560,1440,5,2026-09-07T22:24:28.581Z,18.915300,15.166600,7.930100,18.915300,10.521000,12.042900,1,0
hwrt-off-1440-1-v3,v3,2560,1440,6,2026-09-07T22:24:29.583Z,20.896799,15.196200,8.573800,20.896799,11.344600,13.113300,1,0
hwrt-off-1440-1-v3,v3,2560,1440,7,2026-09-07T22:24:30.587Z,18.287399,15.217900,8.794100,18.287399,11.047500,12.656600,1,0
hwrt-off-1440-1-v3,v3,2560,1440,8,2026-09-07T22:24:31.590Z,20.218201,15.196200,7.230400,20.218201,10.624200,12.060700,1,0
hwrt-off-1440-1-v3,v3,2560,1440,9,2026-09-07T22:24:32.593Z,21.264400,15.209500,12.840400,21.264400,10.876300,11.770400,1,0
hwrt-off-1440-1-v3,v3,2560,1440,10,2026-09-07T22:24:33.580Z,19.887501,15.182400,8.119800,19.887501,10.596000,12.109900,1,0
hwrt-off-1440-1-v3,v3,2560,1440,11,2026-09-07T22:24:34.584Z,17.117300,15.195700,7.143900,17.117300,10.501700,11.871000,1,0
hwrt-off-1440-1-v3,v3,2560,1440,12,2026-09-07T22:24:35.586Z,19.035101,15.173200,7.698300,19.035101,10.507500,11.927000,1,0
hwrt-off-1440-1-v3,v3,2560,1440,13,2026-09-07T22:24:36.587Z,19.654200,15.185000,7.982800,19.654200,11.164900,12.019600,1,0
hwrt-off-1440-1-v3,v3,2560,1440,14,2026-09-07T22:24:37.589Z,19.211100,15.219000,9.568000,19.211100,10.714300,12.034100,1,0
hwrt-off-1440-1-v3,v3,2560,1440,15,2026-09-07T22:24:38.591Z,18.261000,15.230300,8.668500,18.261000,10.373800,12.152300,1,0
hwrt-off-1440-1-v3,v3,2560,1440,16,2026-09-07T22:24:39.579Z,18.374701,15.220500,6.702800,18.374701,10.721200,12.138600,1,0
hwrt-off-1440-1-v3,v3,2560,1440,17,2026-09-07T22:24:40.584Z,18.162201,15.249200,7.296900,18.162201,10.442100,11.940500,1,0
hwrt-off-1440-1-v3,v3,2560,1440,18,2026-09-07T22:24:41.585Z,20.549801,15.185200,8.614600,20.549801,10.691900,12.200900,1,0
hwrt-off-1440-1-v3,v3,2560,1440,19,2026-09-07T22:24:42.587Z,20.483801,15.176500,9.931200,20.483801,10.883400,12.829400,1,0
hwrt-off-1440-1-v3,v3,2560,1440,20,2026-09-07T22:24:43.589Z,18.891701,15.172500,7.962000,18.891701,10.443600,12.136400,1,0
hwrt-off-1440-1-v3,v3,2560,1440,21,2026-09-07T22:24:44.589Z,20.156900,15.196500,7.809900,20.156900,10.823000,12.239400,1,0
