run,driver,sequence,start_ticks,end_ticks,frequency,gpu_ms,gpu_completion_fence_verified
02,original-v3-2.82,1640,15960602976973,15960603778529,100000000,8.01556,True
02,original-v3-2.82,1641,15960608973949,15960609775929,100000000,8.0198,True
02,original-v3-2.82,1642,15960614932049,15960615733353,100000000,8.01304,True
02,original-v3-2.82,1643,15960620900073,15960621701637,100000000,8.01564,True
02,original-v3-2.82,1644,15960626851369,15960627652709,100000000,8.0134,True
02,original-v3-2.82,1645,15960632785345,15960633587069,100000000,8.01724,True
02,original-v3-2.82,1646,15960638715417,15960639518349,100000000,8.02932,True
02,original-v3-2.82,1647,15960644665769,15960645467937,100000000,8.02168,True
02,original-v3-2.82,1648,15960650616261,15960651418797,100000000,8.02536,True
02,original-v3-2.82,1649,15960656559697,15960657362041,100000000,8.02344,True
02,original-v3-2.82,1650,15960662501973,15960663303313,100000000,8.0134,True
02,original-v3-2.82,1651,15960668448425,15960669249645,100000000,8.0122,True
02,original-v3-2.82,1652,15960674409265,15960675214109,100000000,8.04844,True
02,original-v3-2.82,1653,15960680381401,15960681183529,100000000,8.02128,True
02,original-v3-2.82,1654,15960686377685,15960687179205,100000000,8.0152,True
02,original-v3-2.82,1655,15960692323773,15960693126113,100000000,8.0234,True
02,original-v3-2.82,1656,15960698283285,15960699084681,100000000,8.01396,True
02,original-v3-2.82,1657,15960704258461,15960705059965,100000000,8.01504,True
02,original-v3-2.82,1658,15960710193109,15960710994641,100000000,8.01532,True
02,original-v3-2.82,1659,15960716177045,15960716978985,100000000,8.0194,True
02,original-v3-2.82,1660,15960722138041,15960722939801,100000000,8.0176,True
02,original-v3-2.82,1661,15960728091677,15960728893285,100000000,8.01608,True
02,original-v3-2.82,1662,15960734035553,15960734837417,100000000,8.01864,True
02,original-v3-2.82,1663,15960739999309,15960740800757,100000000,8.01448,True
02,original-v3-2.82,1664,15960745943149,15960746744661,100000000,8.01512,True
02,original-v3-2.82,1665,15960751892457,15960752693697,100000000,8.0124,True
02,original-v3-2.82,1666,15960757872037,15960758673609,100000000,8.01572,True
02,original-v3-2.82,1667,15960763876293,15960764677773,100000000,8.0148,True
02,original-v3-2.82,1668,15960769812929,15960770614781,100000000,8.01852,True
02,original-v3-2.82,1669,15960775742677,15960776543733,100000000,8.01056,True
02,original-v3-2.82,1670,15960781741773,15960782544557,100000000,8.02784,True
02,original-v3-2.82,1671,15960787689409,15960788491005,100000000,8.01596,True
02,original-v3-2.82,1672,15960793619237,15960794421169,100000000,8.01932,True
02,original-v3-2.82,1673,15960799571173,15960800376457,100000000,8.05284,True
02,original-v3-2.82,1674,15960805521805,15960806323737,100000000,8.01932,True
02,original-v3-2.82,1675,15960811483145,15960812284269,100000000,8.01124,True
02,original-v3-2.82,1676,15960817456989,15960818258493,100000000,8.01504,True
02,original-v3-2.82,1677,15960823413341,15960824215345,100000000,8.02004,True
02,original-v3-2.82,1678,15960829363229,15960830165085,100000000,8.01856,True
02,original-v3-2.82,1679,15960835307945,15960836109361,100000000,8.01416,True
02,original-v3-2.82,1680,15960841273805,15960842075445,100000000,8.0164,True
02,original-v3-2.82,1681,15960847208421,15960848010081,100000000,8.0166,True
02,original-v3-2.82,1682,15960853169457,15960853971301,100000000,8.01844,True
02,original-v3-2.82,1683,15960859105733,15960859907409,100000000,8.01676,True
02,original-v3-2.82,1684,15960865036913,15960865837981,100000000,8.01068,True
02,original-v3-2.82,1685,15960870989085,15960871790957,100000000,8.01872,True
02,original-v3-2.82,1686,15960876934889,15960877736633,100000000,8.01744,True
02,original-v3-2.82,1687,15960882883721,15960883685397,100000000,8.01676,True
02,original-v3-2.82,1688,15960888829837,15960889631445,100000000,8.01608,True
02,original-v3-2.82,1689,15960894841561,15960895642597,100000000,8.01036,True
02,original-v3-2.82,1690,15960900789101,15960901590889,100000000,8.01788,True
02,original-v3-2.82,1691,15960906737245,15960907539545,100000000,8.023,True
02,original-v3-2.82,1692,15960912706817,15960913508185,100000000,8.01368,True
02,original-v3-2.82,1693,15960918661209,15960919463329,100000000,8.0212,True
02,original-v3-2.82,1694,15960924598633,15960925400897,100000000,8.02264,True
02,original-v3-2.82,1695,15960930527549,15960931329809,100000000,8.0226,True
02,original-v3-2.82,1696,15960936519645,15960937321385,100000000,8.0174,True
02,original-v3-2.82,1697,15960942516817,15960943318337,100000000,8.0152,True
02,original-v3-2.82,1698,15960948462981,15960949265153,100000000,8.02172,True
02,original-v3-2.82,1699,15960954408757,15960955210421,100000000,8.01664,True
02,original-v3-2.82,1700,15960960354425,15960961155449,100000000,8.01024,True
02,original-v3-2.82,1701,15960966319121,15960967121049,100000000,8.01928,True
02,original-v3-2.82,1702,15960972241633,15960973043197,100000000,8.01564,True
02,original-v3-2.82,1703,15960978169701,15960978970877,100000000,8.01176,True
02,original-v3-2.82,1704,15960984101133,15960984902737,100000000,8.01604,True
02,original-v3-2.82,1705,15960990036425,15960990837925,100000000,8.015,True
02,original-v3-2.82,1706,15960995977841,15960996779657,100000000,8.01816,True
02,original-v3-2.82,1707,15961002082025,15961002883593,100000000,8.01568,True
02,original-v3-2.82,1708,15961008026565,15961008828417,100000000,8.01852,True
02,original-v3-2.82,1709,15961013968865,15961014770613,100000000,8.01748,True
02,original-v3-2.82,1710,15961019918237,15961020720125,100000000,8.01888,True
02,original-v3-2.82,1711,15961025861685,15961026663277,100000000,8.01592,True
02,original-v3-2.82,1712,15961031793021,15961032594809,100000000,8.01788,True
02,original-v3-2.82,1713,15961037747133,15961038548457,100000000,8.01324,True
02,original-v3-2.82,1714,15961043666229,15961044467665,100000000,8.01436,True
02,original-v3-2.82,1715,15961049642517,15961050444369,100000000,8.01852,True
02,original-v3-2.82,1716,15961055619185,15961056420605,100000000,8.0142,True
02,original-v3-2.82,1717,15961061566733,15961062368309,100000000,8.01576,True
02,original-v3-2.82,1718,15961067546421,15961068348057,100000000,8.01636,True
02,original-v3-2.82,1719,15961073509869,15961074311501,100000000,8.01632,True
02,original-v3-2.82,1720,15961079462889,15961080264205,100000000,8.01316,True
02,original-v3-2.82,1721,15961085404889,15961086207205,100000000,8.02316,True
02,original-v3-2.82,1722,15961091338209,15961092140185,100000000,8.01976,True
02,original-v3-2.82,1723,15961097268297,15961098069909,100000000,8.01612,True
02,original-v3-2.82,1724,15961103218177,15961104020397,100000000,8.0222,True
02,original-v3-2.82,1725,15961109168985,15961109971525,100000000,8.0254,True
02,original-v3-2.82,1726,15961115132733,15961115934385,100000000,8.01652,True
02,original-v3-2.82,1727,15961121088161,15961121889701,100000000,8.0154,True
02,original-v3-2.82,1728,15961127041873,15961127842733,100000000,8.0086,True
02,original-v3-2.82,1729,15961132975793,15961133777221,100000000,8.01428,True
02,original-v3-2.82,1730,15961138919381,15961139721081,100000000,8.017,True
02,original-v3-2.82,1731,15961144850473,15961145651773,100000000,8.013,True
02,original-v3-2.82,1732,15961150772177,15961151573809,100000000,8.01632,True
02,original-v3-2.82,1733,15961156729109,15961157530385,100000000,8.01276,True
02,original-v3-2.82,1734,15961162680357,15961163481921,100000000,8.01564,True
02,original-v3-2.82,1735,15961168651797,15961169452841,100000000,8.01044,True
02,original-v3-2.82,1736,15961174649197,15961175451105,100000000,8.01908,True
02,original-v3-2.82,1737,15961180611953,15961181413533,100000000,8.0158,True
02,original-v3-2.82,1738,15961186580021,15961187381329,100000000,8.01308,True
02,original-v3-2.82,1739,15961192535641,15961193337525,100000000,8.01884,True
02,original-v3-2.82,1740,15961198470045,15961199271509,100000000,8.01464,True
02,original-v3-2.82,1741,15961204458685,15961205259825,100000000,8.0114,True
02,original-v3-2.82,1742,15961210412025,15961211214149,100000000,8.02124,True
02,original-v3-2.82,1743,15961216352057,15961217153705,100000000,8.01648,True
02,original-v3-2.82,1744,15961222366353,15961223168573,100000000,8.0222,True
02,original-v3-2.82,1745,15961228333965,15961229135557,100000000,8.01592,True
02,original-v3-2.82,1746,15961234300473,15961235102489,100000000,8.02016,True
02,original-v3-2.82,1747,15961240253045,15961241054997,100000000,8.01952,True
02,original-v3-2.82,1748,15961246204461,15961247006029,100000000,8.01568,True
02,original-v3-2.82,1749,15961252182873,15961252984345,100000000,8.01472,True
02,original-v3-2.82,1750,15961258138429,15961258939705,100000000,8.01276,True
02,original-v3-2.82,1751,15961264086869,15961264888865,100000000,8.01996,True
02,original-v3-2.82,1752,15961270025829,15961270827717,100000000,8.01888,True
02,original-v3-2.82,1753,15961275976033,15961276777725,100000000,8.01692,True
02,original-v3-2.82,1754,15961281923281,15961282724405,100000000,8.01124,True
02,original-v3-2.82,1755,15961287899101,15961288700413,100000000,8.01312,True
02,original-v3-2.82,1756,15961293850741,15961294652361,100000000,8.0162,True
02,original-v3-2.82,1757,15961299839829,15961300641965,100000000,8.02136,True
02,original-v3-2.82,1758,15961305792305,15961306593813,100000000,8.01508,True
02,original-v3-2.82,1759,15961311721005,15961312523165,100000000,8.0216,True
02,original-v3-2.82,1760,15961317671445,15961318473621,100000000,8.02176,True
02,original-v3-2.82,1761,15961323638585,15961324440317,100000000,8.01732,True
02,original-v3-2.82,1762,15961329638057,15961330439541,100000000,8.01484,True
02,original-v3-2.82,1763,15961335613501,15961336415337,100000000,8.01836,True
02,original-v3-2.82,1764,15961341590041,15961342391929,100000000,8.01888,True
02,original-v3-2.82,1765,15961347564065,15961348365401,100000000,8.01336,True
02,original-v3-2.82,1766,15961353513345,15961354315389,100000000,8.02044,True
02,original-v3-2.82,1767,15961359484257,15961360285737,100000000,8.0148,True
02,original-v3-2.82,1768,15961365434233,15961366235561,100000000,8.01328,True
02,original-v3-2.82,1769,15961371374685,15961372176469,100000000,8.01784,True
02,original-v3-2.82,1770,15961377329101,15961378130617,100000000,8.01516,True
02,original-v3-2.82,1771,15961383296841,15961384098209,100000000,8.01368,True
02,original-v3-2.82,1772,15961389240245,15961390041917,100000000,8.01672,True
02,original-v3-2.82,1773,15961395184569,15961395986417,100000000,8.01848,True
02,original-v3-2.82,1774,15961401135097,15961401936989,100000000,8.01892,True
02,original-v3-2.82,1775,15961407097797,15961407900125,100000000,8.02328,True
02,original-v3-2.82,1776,15961413068549,15961413870293,100000000,8.01744,True
02,original-v3-2.82,1777,15961419021833,15961419823669,100000000,8.01836,True
02,original-v3-2.82,1778,15961424951901,15961425753705,100000000,8.01804,True
02,original-v3-2.82,1779,15961430903829,15961431705601,100000000,8.01772,True
02,original-v3-2.82,1780,15961436876657,15961437678237,100000000,8.0158,True
02,original-v3-2.82,1781,15961442820105,15961443621873,100000000,8.01768,True
02,original-v3-2.82,1782,15961448761353,15961449563017,100000000,8.01664,True
02,original-v3-2.82,1783,15961454690373,15961455492281,100000000,8.01908,True
02,original-v3-2.82,1784,15961460644393,15961461446169,100000000,8.01776,True
02,original-v3-2.82,1785,15961466594045,15961467395889,100000000,8.01844,True
02,original-v3-2.82,1786,15961472527625,15961473329385,100000000,8.0176,True
02,original-v3-2.82,1787,15961478507525,15961479308813,100000000,8.01288,True
02,original-v3-2.82,1788,15961484449613,15961485251161,100000000,8.01548,True
02,original-v3-2.82,1789,15961490380685,15961491182277,100000000,8.01592,True
02,original-v3-2.82,1790,15961496346273,15961497147941,100000000,8.01668,True
02,original-v3-2.82,1791,15961502309141,15961503110405,100000000,8.01264,True
03,original-v3-2.82,2492,15982163145233,15982163946733,100000000,8.015,True
03,original-v3-2.82,2493,15982169081273,15982169882521,100000000,8.01248,True
03,original-v3-2.82,2494,15982175021157,15982175821917,100000000,8.0076,True
03,original-v3-2.82,2495,15982180985469,15982181787605,100000000,8.02136,True
03,original-v3-2.82,2496,15982186936837,15982187737901,100000000,8.01064,True
03,original-v3-2.82,2497,15982192874701,15982193675933,100000000,8.01232,True
03,original-v3-2.82,2498,15982198801469,15982199602901,100000000,8.01432,True
03,original-v3-2.82,2499,15982204777193,15982205578721,100000000,8.01528,True
03,original-v3-2.82,2500,15982210738509,15982211539709,100000000,8.012,True
03,original-v3-2.82,2501,15982216719681,15982217520993,100000000,8.01312,True
03,original-v3-2.82,2502,15982222649801,15982223451229,100000000,8.01428,True
03,original-v3-2.82,2503,15982228623733,15982229425861,100000000,8.02128,True
03,original-v3-2.82,2504,15982234595677,15982235396317,100000000,8.0064,True
03,original-v3-2.82,2505,15982240545681,15982241346605,100000000,8.00924,True
03,original-v3-2.82,2506,15982246501485,15982247303177,100000000,8.01692,True
03,original-v3-2.82,2507,15982252465053,15982253266505,100000000,8.01452,True
03,original-v3-2.82,2508,15982258422353,15982259223837,100000000,8.01484,True
03,original-v3-2.82,2509,15982264370109,15982265171741,100000000,8.01632,True
03,original-v3-2.82,2510,15982270350561,15982271152413,100000000,8.01852,True
03,original-v3-2.82,2511,15982276297209,15982277098593,100000000,8.01384,True
03,original-v3-2.82,2512,15982282230773,15982283032553,100000000,8.0178,True
03,original-v3-2.82,2513,15982288184841,15982288986353,100000000,8.01512,True
